Word	Antonym
amatir	ahli
asli	palsu
bagus	jelek
bahagia	sedih
baik	buruk
banyak	sedikit
basah	kering
besar	kecil
boros	hemat
cakep	jelek
cepat	lambat
datang	pergi
genap	ganjil
haus	lapar
jauh	dekat
kakak	adik
kanan	kiri
kuat	lemah
lama	baru
lapar	kenyang
lupa	ingat
maju	mundur
meminta	memberi
menang	kalah
naik	turun
netral	berpihak
nyata	fiksi
otoriter	demokrasi
panas	dingin
panjang	pendek
pertama	terakhir
pro	kontra
ramai	sepi
rutin	jarang
sama	beda
senang	sendu
senior	junior
subur	tandus
sulung	bungsu
tajam	tumpul
terapung	tenggelam
tinggi	rendah
tradisional	modern
tua	muda
