Country	Capital
Afganistan	Kabul
Albania	Tirana
Aljazair	Aljir
Amerika	Washington
Angola	Luanda
Armenia	Yerevan
Australia	Canberra
Austria	Wina
Azerbaijan	Baku
Bahama	Nassau
Bahrain	Manama
Bangladesh	Dhaka
Barbados	Bridgetown
Belanda	Amsterdam
Belarus/Belarusia	Minsk
Belgia	Brussel
Belize	Belmopan
Bhutan	Thimphu
Botswana	Gaborone
Brasil	Brasilia
Bulgaria	Sofia
Burundi	Bujumbura
Ceko	Praha
Chile/Chili	Santiago
Cina	Beijing
Denmark	Kopenhagen
Dominika	Roseau
Ekuador	Quito
Eritrea	Asmara
Estonia	Tallinn
Fiji	Suva
Filipina	Manila
Finlandia	Helsinki
Gabon	Libreville
Gambia	Banjul
Georgia	Tbilisi
Ghana	Accra
Guinea	Conakry
Guyana	Georgetown
Honduras	Tegucigalpa
Hongaria/Hungaria	Budapest
Indonesia	Jakarta
Inggris	London
Irak	Bagdad
Iran	Teheran
Irlandia	Dublin
Islandia	Reykjavik
Italia	Roma
Jamaika	Kingston
Jepang	Tokyo
Jerman	Berlin
Kanada	Ottawa
Kazakhstan	Astana
Kenya	Nairobi
Kirgizstan	Bishkek
Kolombia	Bogota
Korsel	Seoul
Korut	Pyongyang
Kroasia	Zagreb
Kuba	Havana
Laos	Vientiane
Lebanon	Beirut
Liberia	Monrovia
Libya	Tripoli
Liechtenstein	Vaduz
Lituania	Vilnius
Madagaskar	Antananarivo
Makedonia	Skopye
Maladewa	Male
Malawi	Lilongwe
Mali	Bamako
Malta	Valletta
Maroko	Rabat
Mauritania	Nouakchott
Mesir	Kairo
Moldova	Chisinau
Montenegro	Podgorica
Mozambik	Maputo
Myanmar	Naypyidaw
Namibia	Windhoek
Nauru	Yaren
Nepal	Kathmandu
Niger	Niamey
Nigeria	Abuja
Nikaragua	Managua
Norwegia	Oslo
Oman	Muskat
Pakistan	Islamabad
Paraguay	Asuncion
Perancis	Paris
Peru	Lima
Polandia	Warsawa
Portugal	Lisboa/Lisbon
Qatar	Doha
Romania/Rumania	Bukares
Rusia	Moskow/Moskwa
Rwanda	Kigali
Samoa	Apia
Senegal	Dakar
Serbia	Beograd
Singapura	Singapura
Siprus	Nikosia
Slovenia	Ljubljana
Slowakia	Bratislava
Somalia	Mogadishu
Spanyol	Madrid
Sudan	Khartoum
Suriah	Damaskus
Suriname	Paramaribo
Swedia	Stockholm
Swiss	Bern
Taiwan	Taipei
Tajikistan	Dushanbe
Thailand	Bangkok
Tiongkok	Beijing
Tunisia	Tunis
Turki	Ankara
Turkmenistan	Ashgabat
Tuvalu	Funafuti
Uganda	Kampala
Ukraina	Kiev
Uruguay	Montevideo
Uzbekistan	Tashkent
Venezuela	Caracas
Vietnam	Hanoi
Yaman	Sanaa
Yordania	Amman
Yunani	Athena/Atena
Zambia	Lusaka
Zimbabwe	Harare
