Country	Currency
Afganistan	Afghani
Albania	Lek
Aljazair	Dinar
Amerika	Dolar
Angola	Kwanza
Armenia	Dram
Australia	Dolar
Austria	Euro
Azerbaijan	Manat
Bahama	Dolar
Bahrain	Dinar
Bangladesh	Taka
Barbados	Dolar
Belanda	Euro
Belarus/Belarusia	Rubel
Belgia	Euro
Belize	Dolar
Bhutan	Ngultrum
Botswana	Pula
Brasil	Real
Bulgaria	Lev
Burundi	Franc
Ceko	Koruna
Chile/Chili	Peso
Cina	Yuan
Denmark	Krona
Dominika	Dolar
Ekuador	Dolar
Eritrea	Nakfa
Estonia	Euro
Fiji	Dolar
Filipina	Peso
Finlandia	Euro
Gabon	Franc
Gambia	Dalasi
Georgia	Lari
Ghana	Cedi
Guinea	Franc
Guyana	Dolar
Honduras	Lempira
Hongaria/Hungaria	Forint
Indonesia	Rupiah
Inggris	Pound
Irak	Dinar
Iran	Rial
Irlandia	Euro
Islandia	Krona
Italia	Euro
Jamaika	Dolar
Jepang	Yen
Jerman	Euro
Kanada	Dolar
Kazakhstan	Tenge
Kenya	Shilling
Kirgizstan	Som
Kolombia	Peso
Korsel	Won
Korut	Won
Kroasia	Kuna
Kuba	Peso
Laos	Kip
Latvia	Euro
Lebanon	Pound
Liberia	Dolar
Libya	Dinar
Liechtenstein	Franc
Lituania	Euro
Madagaskar	Ariary
Makedonia	Denar
Maladewa	Rufiyaa
Malawi	Kwacha
Mali	Franc
Malta	Euro
Maroko	Dirham
Mauritania	Ouguiya
Mesir	Pound
Moldova	Leu
Montenegro	Euro
Mozambik	Metical
Myanmar	Kyat
Namibia	Dolar
Nauru	Dolar
Nepal	Rupee
Niger	Franc
Nigeria	Naira
Nikaragua	Cordoba
Norwegia	Krona
Oman	Rial
Pakistan	Rupee
Paraguay	Guarani
Perancis	Euro
Peru	Sol
Polandia	Zloty
Portugal	Euro
Qatar	Riyal
Romania/Rumania	Leu
Rusia	Rubel
Rwanda	Franc
Samoa	Tala
Senegal	Franc
Serbia	Dinar
Singapura	Dolar
Siprus	Euro
Slovenia	Euro
Slowakia	Euro
Somalia	Shilling
Spanyol	Euro
Sudan	Pound
Suriah	Pound
Suriname	Dolar
Swedia	Krona
Swiss	Franc
Taiwan	Dolar
Tajikistan	Somoni
Thailand	Baht
Tiongkok	Yuan
Tunisia	Dinar
Turki	Lira
Turkmenistan	Manat
Tuvalu	Dolar
Uganda	Shilling
Ukraina	Hryvnia
Uruguay	Peso
Uzbekistan	Som
Venezuela	Bolivar
Vietnam	Dong
Yaman	Rial
Yordania	Dinar
Yunani	Euro
Zambia	Kwacha
Zimbabwe	Euro
