noun	me-	me-i	me-kan	di-	di-kan	di-i	ber-	ter-	-an	pe-an	pe-	ke-an
abdi	mengabdi	-	mengabdikan	-	diabdikan	-	-	-	-	pengabdian	pengabdi	-
absen	mengabsen	-	mengabsenkan	diabsen	-	diabsenin	-	-	-	pengabsenan	-	-
agama	-	-	mengagamakan	-	-	-	beragama	-	-	-	-	keagamaan
akhir	-	mengakhiri	mengakhirkan	-	diakhirkan	diakhiri	berakhir	terakhir	akhiran	pengakhiran	-	-
amal	-	-	mengamalkan	-	diamalkan	-	beramal	-	amalan	pengamalan	pengamal	-
ampun	-	mengampuni	mengampunkan	-	diampunkan	diampuni	-	-	ampunan	pengampunan	pengampun	-
asal	-	-	mengasalkan	-	diasalkan	-	berasal	-	-	-	-	-
awal	-	mengawali	-	-	-	diawali	berawal	-	awalan	-	-	-
bingkai	membingkai	-	membingkaikan	dibingkai	dibingkaikan	-	berbingkai	-	-	pembingkaian	pembingkai	-
bisik	-	membisiki	membisikkan	-	dibisikkan	dibisiki	berbisik	-	bisikan	pembisikan	pembisik	-
bom	mengebom	-	-	dibom	-	-	-	-	-	pengeboman	pengebom	-
buah	-	membuahi	membuahkan	-	-	dibuahi	berbuah	-	-	pembuahan	-	-
buku	-	-	membukukan	-	dibukukan	-	-	-	-	pembukuan	-	-
cakar	mencakar	-	-	dicakar	-	-	bercakar	tercakar	cakaran	-	pencakar	-
cat	mengecat	-	-	dicat	-	-	bercat	-	-	pengecatan	pengecat	-
centang	mencentang	-	-	dicentang	-	-	-	tercentang	-	-	-	-
darat	mendarat	mendarati	mendaratkan	-	didaratkan	didarati	-	-	daratan	pendaratan	pendarat	-
dendang	-	-	mendendangkan	-	didendangkan	-	berdendang	-	-	-	pendendang	-
dewa	-	-	mendewakan	-	didewakan	-	-	-	-	pendewaan	-	kedewaan
dikte	mendikte	-	mendiktekan	didikte	didiktekan	-	-	-	-	-	-	-
doa	mendoa	-	mendoakan	-	didoakan	-	berdoa	-	-	-	-	-
dulang	mendulang	-	-	didulang	-	-	-	-	-	pendulangan	pendulang	-
ekor	mengekor	-	-	-	-	-	berekor	-	-	-	pengekor	-
emban	mengemban	-	-	diemban	-	-	-	-	-	-	pengemban	-
emulsi	mengemulsi	-	-	diemulsi	-	-	-	-	-	pengemulsian	pengemulsi	-
evaluasi	mengevaluasi	-	-	-	-	-	-	-	-	pengevaluasian	pengevaluasi	-
gula	menggula	menggulai	-	-	-	digulai	bergula	-	-	pergulaan	-	-
ikat	mengikat	-	mengikatkan	diikat	diikatkan	-	berikat	terikat	ikatan	perikatan	pengikat	-
janji	-	-	menjanjikan	-	dijanjikan	-	berjanji	terjanji	-	perjanjian	-	-
jaring	menjaring	-	menjaringkan	dijaring	dijaringkan	-	berjaring	terjaring	jaringan	penjaringan	penjaring	-
jasa	-	-	-	-	-	-	berjasa	-	-	-	-	-
khayal	mengkhayal	-	mengkhayalkan	-	dikhayalkan	-	berkhayal	terkhayal	khayalan	pengkhayalan	pengkhayal	-
khianat	mengkhianat	mengkhianati	-	-	-	dikhianati	berkhianat	-	-	pengkhianatan	pengkhianat	-
korban	-	-	mengorbankan	-	dikorbankan	-	berkorban	-	-	pengorbanan	-	-
lawan	melawan	melawani	melawankan	dilawan	dilawankan	-	berlawan	terlawan	-	perlawanan	pelawan	kelawanan
musuh	-	memusuhi	-	-	-	dimusuhi	bermusuh	-	-	permusuhan	-	-
pacar	-	memacari	-	-	-	dipacari	berpacaran	-	pacaran	-	-	-
semangat	-	menyemangati	menyemangatkan	-	disemangatkan	disemangati	bersemangat	-	-	penyemangatan	penyemangat	-
sulam	menyulam	-	-	disulam	-	-	bersulam	-	sulaman	penyulaman	penyulam	-
tanda	-	menandai	menandakan	-	-	ditandai	-	tertanda	-	penandaan	penanda	-
tangan	-	menangani	-	-	-	ditangani	bertangan	-	tanganan	penanganan	-	-
tangis	menangis	menangisi	-	-	-	ditangisi	-	-	tangisan	-	penangis	-
tari	menari	-	menarikan	-	ditarikan	-	bertari	-	tarian	penarian	penari	-
tawa	-	mentertawai	mentertawakan	-	ditertawakan	-	-	tertawa	-	penertawaan	-	-
teman	-	menemani	-	-	-	ditemani	berteman	-	-	pertemanan	peneman	-
uang	-	menguangi	menguangkan	-	diuangkan	diuangi	beruang	-	-	penguangan	-	keuangan
umpat	mengumpat	-	-	-	-	-	-	-	umpatan	pengumpatan	pengumpat	-
warna	-	mewarnai	mewarnakan	-	-	diwarnai	berwarna	-	-	pewarnaan	pewarna	-
wujud	mewujud	-	mewujudkan	-	diwujudkan	-	berwujud	terwujud	-	perwujudan	-	kewujudan
