Lemma	Duplication
balik	bolak-balik
batu	batu-batuan
biru	kebiru-biruan
boneka	boneka-bonekaan
buku	berbuku-buku
cokelat	kecokelat-cokelatan
gerak	gerak-gerik
hidup	hidup-hidup
hijau	kehijau-hijauan
hitam	kehitam-hitaman
jahit	jahit-menjahit
jalan	jalan-jalan
jari	jari-jari
kucing	kucing-kucingan
kuda	kuda-kudaan
kuning	kekuning-kuningan
kunjung	kunjung-mengunjungi
langit	langit-langit
makan	makan-makan
masak	masak-memasak
mentah	mentah-mentah
merah	kemerah-merahan
mobil	mobil-mobilan
putih	keputih-putihan
rumah	rumah-rumahan
salam	salam-salaman
tangkap	tangkap-menangkap
tidur	tidur-tiduran
tikam	tikam-menikam
tolong	tolong-menolong
tuduh	tuduh-menuduh
ungu	keungu-unguan
