Verb	me-	me-i	me-kan	di-	di-kan	di-i	ber-	ter-	-an	pe-an	pe-
Acak	mengacak	-	-	diacak	-	-	-	teracak	-	pengacakan	pengacak
Aduk	mengaduk	-	mengadukkan	diaduk	diadukkan	-	beraduk	teraduk	adukan	pengadukan	pengaduk
Ajak	mengajak	-	mengajakkan	diajak	diajakkan	-	-	terajak	ajakan	-	-
Ambil	mengambil	mengambili	mengambilkan	diambil	diambilkan	diambili	-	terambil	-	pengambilan	pengambil
Ancam	mengancam	-	mengancamkan	diancam	diancamkan	-	-	terancam	ancaman	pengancaman	pengancam
Angkat	mengangkat	mengangkati	mengangkatkan	diangkat	diangkatkan	diangkati	berangkat	terangkat	angkatan	pengangkatan	pengangkat
Antar	mengantar	mengantari	mengantarkan	diantar	diantarkan	diantari	-	terantar	-	pengantaran	pengantar
Atur	mengatur	-	mengaturkan	diatur	diaturkan	-	-	teratur	aturan	pengaturan/peraturan	pengatur
Bakar	membakar	membakari	membakarkan	dibakar	dibakarkan	dibakari	-	terbakar	bakaran	pembakaran	pembakar
Bangun	membangun	membanguni	membangunkan	dibangun	dibangunkan	dibanguni	-	terbangun	bangunan	pembangunan	pembangun
Banting	membanting	-	membantingkan	dibanting	dibantingkan	-	-	terbanting	bantingan	pembantingan	pembanting
Bentak	membentak	-	-	dibentak	-	-	-	-	bentakan	-	-
Bentang	membentang	membentangi	membentangkan	-	dibentangkan	dibentangi	-	terbentang	bentangan	pembentangan	-
Bonceng	membonceng	-	memboncengkan	dibonceng	diboncengkan	-	-	-	boncengan	pemboncengan	pembonceng
Bunuh	membunuh	-	-	dibunuh	-	-	-	terbunuh	-	pembunuhan	pembunuh
Dapat	mendapat	mendapati	mendapatkan	didapat	didapatkan	didapati	-	terdapat	-	pendapatan	pendapat
Datang	mendatang	mendatangi	mendatangkan	-	didatangkan	didatangi	-	-	-	pendatangan	pendatang
Dengar	mendengar	-	mendengarkan	didengar	didengarkan	-	-	terdengar	-	pendengaran	pendengar
Didik	mendidik	-	-	dididik	-	-	-	terdidik	didikan	pendidikan	pendidik
Hambat	menghambat	-	-	dihambat	-	-	-	terhambat	hambatan	penghambatan	penghambat
Hancur	-	-	menghancurkan	-	dihancurkan	-	-	-	-	penghancuran	penghancur
Hantar	menghantar	-	menghantarkan	-	dihantarkan	-	-	terhantar	hantaran	penghantaran	penghantar
Hilang	menghilang	-	menghilangkan	-	dihilangkan	-	-	-	-	penghilangan	penghilang
Isap	mengisap	-	-	diisap	-	-	-	terisap	isapan	pengisapan	pengisap
Lihat	melihat	melihati	-	dilihat	-	dilihati	-	terlihat	-	penglihatan	penglihat
Makan	memakan	memakani	memakankan	dimakan	dimakankan	dimakani	-	termakan	makanan	-	pemakan
Minum	meminum	meminumi	meminumkan	diminum	diminumkan	diminumi	-	terminum	minuman	-	peminum
Pancung	memancung	-	-	dipancung	-	-	-	terpancung	pancungan	-	pemancung
Pegang	memegang	-	-	dipegang	-	-	berpegang	terpegang	pegangan	pemegangan	pemegang
Petik	memetik	memetiki	memetikkan	dipetik	dipetikkan	dipetiki	-	terpetik	petikan	pemetikan	pemetik
Pikat	memikat	-	-	dipikat	-	-	-	terpikat	pikatan	-	pemikat
Pisah	memisah	-	memisahkan	dipisah	dipisahkan	-	berpisah	terpisah	pisahan	pemisahan	pemisah
Poles	memoles	memolesi	memoleskan	dipoles	dipoleskan	dipolesi	-	terpoles	polesan	-	pemoles
Potong	memotong	-	memotongkan	dipotong	dipotongkan	-	-	terpotong	potongan	pemotongan	pemotong
Pukul	memukul	memukuli	memukulkan	dipukul	dipukulkan	dipukuli	-	terpukul	pukulan	pemukulan	pemukul
Putar	memutar	-	memutarkan	diputar	diputarkan	-	berputar	terputar	putaran	pemutaran	pemutar
Sontek	menyontek	-	-	disontek	-	-	-	-	sontekan	penyontekan	-
Sumpah	menyumpah	menyumpahi	-	disumpah	-	disumpahi	bersumpah	tersumpah	-	penyumpahan	penyumpah
Tambal	menambal	-	menambalkan	ditambal	ditambalkan	-	-	tertambal	tambalan	penambalan	penambal
Tarik	menarik	-	-	ditarik	-	-	-	tertarik	tarikan	penarikan	penarik
Tekan	menekan	-	menekankan	ditekan	ditekankan	-	-	tertekan	tekanan	penekanan	penekan
Tekuk	menekuk	-	-	ditekuk	-	-	bertekuk	tertekuk	tekukan	penekukan	-
Tembak	menembak	menembaki	menembakkan	ditembak	ditembakkan	ditembaki	-	tertembak	tembakan	penembakan	penembak
Tembus	menembus	menembusi	-	ditembus	-	ditembusi	-	tertembus	tembusan	penembusan	penembus
Tendang	menendang	-	-	ditendang	-	-	-	tertendang	tendangan	penendangan	penendang
Tidur	-	meniduri	menidurkan	-	ditidurkan	ditiduri	-	tertidur	tiduran	peniduran	penidur
Tindih	menindih	-	-	ditindih	-	-	-	tertindih	tindihan	penindihan	penindih
Tiup	meniup	-	meniupkan	ditiup	ditiupkan	-	bertiup	tertiup	tiupan	peniupan	peniup
Todong	menodong	-	menodongkan	ditodong	ditodongkan	-	-	tertodong	-	penodongan	penodong
Tolong	menolong	-	-	ditolong	-	-	-	tertolong	-	pertolongan	penolong
Topang	menopang	-	-	ditopang	-	-	bertopang	tertopang	topangan	-	penopang
Tuduh	menuduh	-	menuduhkan	dituduh	dituduhkan	-	-	tertuduh	tuduhan	penuduhan	penuduh
